Business Name,Location,Category,Annual Trade Volume (M USD),Main Trading Partner,Trade Type,Subcategory,Business Size,Established Year,Contact Info,Phone,Preferred Trade Route,Trade Growth Rate (%),Currency,Trade Frequency (per year),Recency of Last Trade (months),Trade Success Rate (%),Partner Rating,Price Fluctuation (%),Region,IndustrySector
International Cosmetics Chemicals Egypt,"Mansoura, Egypt",Chemicals,24.23,Argentina,Exporter,Cosmetics,Medium,1990,info@internationalco.eg,+20236849825,Via Port Said Port,-1.98,USD,100,1,85.17,4.6,12.45,Nile Delta,Chemicals - Cosmetics
Pharaoh Jewelry Handicrafts,"Kafr El Sheikh, Egypt",Handicrafts,13.46,Oman,Both,Jewelry,Small,1981,info@pharaohjewelryh.eg,+20257785342,Via Port Said Port,-4.3,USD,48,0,63.02,3.5,8.29,Nile Delta,Handicrafts - Jewelry
Components Electronics of Egypt,"Ismailia, Egypt",Electronics,50.51,Netherlands,Exporter,Components,Medium,2000,info@componentselect.eg,+20328442418,Via Ismailia Port,9.34,USD,167,2,85.92,4.1,11.98,Suez Canal,Electronics - Components
Nile Delta Office Furniture,"Damanhur, Egypt",Furniture,4.53,Oman,Importer,Office,Small,1987,info@niledeltaoffice.eg,+20332759434,Via Port Said Port,-6.09,USD,22,6,58.29,3.0,9.08,Nile Delta,Furniture - Office
Canned Foods Food Processing Group,"Luxor, Egypt",Food Processing,7.69,Tanzania,Both,Canned Foods,Small,2002,info@cannedfoodsfood.eg,+20163215489,Via Safaga Port,-10.0,USD,29,4,65.46,3.6,12.64,Upper Egypt,Food Processing - Canned Foods
Premium Copper Metals,"Mansoura, Egypt",Metals,363.95,Bahrain,Both,Copper,Large,2021,info@premiumcopperme.eg,+20216616758,Via Alexandria Port,15.01,USD,365,6,98.0,4.5,10.64,Nile Delta,Metals - Copper
Spices Food Processing of Egypt,"Cairo, Egypt",Food Processing,79.12,Spain,Both,Spices,Medium,1999,info@spicesfoodproce.eg,+20134929796,Via Safaga Port,-4.93,USD,249,0,75.27,3.9,12.22,Greater Cairo,Food Processing - Spices
Egyptian Brassware Handicrafts,"Suez, Egypt",Handicrafts,510.8,Italy,Both,Brassware,Large,2007,info@egyptianbrasswa.eg,+20314472330,Via Suez Port,3.27,USD,365,5,93.43,4.7,14.24,Suez Canal,Handicrafts - Brassware
Suez Canal Medicine Pharmaceuticals,"Ismailia, Egypt",Pharmaceuticals,466.71,UAE,Importer,Medicine,Large,1983,info@suezcanalmedici.eg,+20146849722,Via Port Said Port,-4.15,USD,365,1,92.22,4.9,1.73,Suez Canal,Pharmaceuticals - Medicine
Cairo Beverages Food Processing,"Kafr El Sheikh, Egypt",Food Processing,5.93,Ghana,Importer,Beverages,Small,2016,info@cairobeveragesf.eg,+20130291778,Via Suez Port,-0.42,USD,40,2,88.67,4.3,6.41,Nile Delta,Food Processing - Beverages
United Detergents Chemicals,"Assiut, Egypt",Chemicals,12.52,Mexico,Exporter,Detergents,Small,1992,info@uniteddetergent.eg,+20289433446,Via Port Said Port,4.11,USD,49,4,74.77,3.6,9.19,Upper Egypt,Chemicals - Detergents
Egypt Office Furniture Company,"Luxor, Egypt",Furniture,8.97,Qatar,Importer,Office,Small,1992,info@egyptofficefurn.eg,+20339665278,Via Alexandria Port,-8.11,USD,36,6,95.04,4.8,10.24,Upper Egypt,Furniture - Office
Egypt Vegetables Agriculture Company,"Fayoum, Egypt",Agriculture,9.98,Morocco,Exporter,Vegetables,Small,1999,info@egyptvegetables.eg,+20214163942,Via Suez Port,-4.52,USD,43,1,62.61,3.5,1.91,Upper Egypt,Agriculture - Vegetables
Ancient Leather Handicrafts,"Safaga, Egypt",Handicrafts,11.11,United Kingdom,Exporter,Leather,Small,2016,info@ancientleatherh.eg,+20134508079,Via Suez Port,-6.8,USD,33,5,69.9,3.2,12.95,Red Sea,Handicrafts - Leather
Communications Electronics Exports,"New Cairo, Egypt",Electronics,17.66,Belgium,Both,Communications,Small,2022,info@communicationse.eg,+20299958896,Via Alexandria Port,-6.62,USD,64,6,79.17,3.9,14.79,Greater Cairo,Electronics - Communications
Dates Agriculture Exports,"Zagazig, Egypt",Agriculture,591.5,South Africa,Both,Dates,Large,1994,info@datesagricultur.eg,+20345436136,Via Safaga Port,-3.38,USD,365,0,89.02,4.4,10.68,Nile Delta,Agriculture - Dates
International Office Furniture Egypt,"Alexandria, Egypt",Furniture,28.98,Qatar,Importer,Office,Medium,1989,info@internationalof.eg,+20210317468,Via Alexandria Port,-10.0,USD,92,1,85.23,4.6,3.8,Mediterranean Coast,Furniture - Office
Greater Cairo Plastics Chemicals,"New Cairo, Egypt",Chemicals,55.75,Argentina,Importer,Plastics,Medium,2007,info@greatercairopla.eg,+20299182773,Via Alexandria Port,6.82,USD,179,1,83.2,4.2,1.48,Greater Cairo,Chemicals - Plastics
Nile Spices Food Processing,"Ismailia, Egypt",Food Processing,21.71,Nigeria,Exporter,Spices,Medium,1986,info@nilespicesfoodp.eg,+20322191083,Via Suez Port,2.56,USD,88,2,79.63,3.9,12.36,Suez Canal,Food Processing - Spices
Upper Egypt Wooden Furniture,"Beni Suef, Egypt",Furniture,63.67,UAE,Both,Wooden,Medium,2017,info@upperegyptwoode.eg,+20311035070,Via Port Said Port,11.87,USD,202,1,86.41,4.4,12.07,Upper Egypt,Furniture - Wooden
Nile Fertilizers Chemicals,"Dahab, Egypt",Chemicals,54.18,Argentina,Exporter,Fertilizers,Medium,2002,info@nilefertilizers.eg,+20114457651,Via Suez Port,-3.17,USD,163,6,85.16,4.7,8.48,Sinai,Chemicals - Fertilizers
Premium Vegetables Agriculture,"Fayoum, Egypt",Agriculture,530.64,France,Exporter,Vegetables,Large,2010,info@premiumvegetabl.eg,+20338968542,Via Alexandria Port,-1.78,USD,365,5,74.72,4.0,3.62,Upper Egypt,Agriculture - Vegetables
Egyptian Communications Electronics,"Tanta, Egypt",Electronics,271.49,Ethiopia,Importer,Communications,Large,2001,info@egyptiancommuni.eg,+20355497761,Via Port Said Port,-10.0,USD,365,5,98.0,4.7,3.57,Nile Delta,Electronics - Communications
Pharaoh Aluminum Metals,"Minya, Egypt",Metals,4.73,Mexico,Exporter,Aluminum,Small,1987,info@pharaohaluminum.eg,+20327246846,Via Damietta Port,-3.24,USD,26,0,59.35,3.7,4.11,Upper Egypt,Metals - Aluminum
El Glass Construction,"El Arish, Egypt",Construction,37.79,South Africa,Both,Glass,Medium,1991,info@elglassconstruc.eg,+20369597363,Via Suez Port,-3.23,USD,131,6,83.09,4.4,3.1,Sinai,Construction - Glass
Zagazig Cement Construction,"Zagazig, Egypt",Construction,13.97,Argentina,Exporter,Cement,Small,1989,info@zagazigcementco.eg,+20291869225,Via Safaga Port,-10.0,USD,56,0,80.37,4.4,1.21,Nile Delta,Construction - Cement
Pharaoh Medical Supplies Pharmaceuticals,"Safaga, Egypt",Pharmaceuticals,78.18,France,Exporter,Medical Supplies,Medium,2008,info@pharaohmedicals.eg,+20163467976,Via Suez Port,8.2,USD,240,6,98.0,5.0,3.37,Red Sea,Pharmaceuticals - Medical Supplies
Cotton Textiles Group,"Dahab, Egypt",Textiles,16.09,South Korea,Importer,Cotton,Small,2019,info@cottontextilesg.eg,+20267399302,Via Alexandria Port,11.82,USD,59,2,91.36,4.5,9.8,Sinai,Textiles - Cotton
Golden Cement Construction,"Aswan, Egypt",Construction,7.21,Nigeria,Both,Cement,Small,1995,info@goldencementcon.eg,+20133927080,Via Suez Port,-0.03,USD,40,0,98.0,4.8,8.57,Upper Egypt,Construction - Cement
Premium Medicine Pharmaceuticals,"Damanhur, Egypt",Pharmaceuticals,12.52,Lebanon,Both,Medicine,Medium,1986,info@premiummedicine.eg,+20215761530,Via Suez Port,-10.0,USD,60,2,87.79,4.2,7.24,Nile Delta,Pharmaceuticals - Medicine
Paints Chemicals of Egypt,"Beni Suef, Egypt",Chemicals,10.78,Jordan,Exporter,Paints,Small,2001,info@paintschemicals.eg,+20124451643,Via Alexandria Port,2.23,USD,42,4,82.28,4.2,6.06,Upper Egypt,Chemicals - Paints
Plastics Chemicals Egypt,"Alexandria, Egypt",Chemicals,18.8,Vietnam,Importer,Plastics,Small,1991,info@plasticschemica.eg,+20149039476,Via Alexandria Port,-10.0,USD,73,5,70.54,3.8,6.81,Mediterranean Coast,Chemicals - Plastics
Modern Herbal Pharmaceuticals,"Zagazig, Egypt",Pharmaceuticals,4.06,Jordan,Exporter,Herbal,Small,2013,info@modernherbalpha.eg,+20177724610,Via Port Said Port,-4.55,USD,22,2,92.15,4.9,6.0,Nile Delta,Pharmaceuticals - Herbal
Cairo Dairy Food Processing,"Safaga, Egypt",Food Processing,12.36,South Africa,Importer,Dairy,Small,2009,info@cairodairyfoodp.eg,+20151335629,Via Suez Port,5.43,USD,45,5,95.85,4.9,5.1,Red Sea,Food Processing - Dairy
6th of October Herbal Pharmaceuticals,"6th of October, Egypt",Pharmaceuticals,484.92,Japan,Both,Herbal,Large,1995,info@6thofoctoberher.eg,+20192236102,Via Safaga Port,-2.54,USD,365,4,98.0,4.7,13.47,Greater Cairo,Pharmaceuticals - Herbal
El Ceramics Construction,"Alexandria, Egypt",Construction,92.52,Saudi Arabia,Importer,Ceramics,Medium,2001,info@elceramicsconst.eg,+20372136336,Via Damietta Port,-9.76,USD,290,4,68.06,2.5,3.15,Mediterranean Coast,Construction - Ceramics
Nile Transportation Tourism,"Safaga, Egypt",Tourism,9.37,Morocco,Exporter,Transportation,Small,1988,info@niletransportat.eg,+20168514690,Via Suez Port,-7.43,USD,40,0,76.06,3.8,2.15,Red Sea,Tourism - Transportation
Damanhur Components Electronics,"Damanhur, Egypt",Electronics,10.14,Malaysia,Exporter,Components,Small,1995,info@damanhurcompone.eg,+20354281944,Via Damietta Port,-9.7,USD,55,5,57.86,2.8,10.66,Nile Delta,Electronics - Components
Fruits Agriculture Exports,"6th of October, Egypt",Agriculture,17.47,China,Both,Fruits,Small,1997,info@fruitsagricultu.eg,+20377686176,Via Port Said Port,-0.78,USD,68,5,72.18,3.9,11.27,Greater Cairo,Agriculture - Fruits
Delta Aluminum Metals,"Safaga, Egypt",Metals,62.77,Germany,Exporter,Aluminum,Large,1989,info@deltaaluminumme.eg,+20171942900,Via Suez Port,-0.64,USD,201,4,88.02,4.2,6.02,Red Sea,Metals - Aluminum
Delta Cement Construction,"Beni Suef, Egypt",Construction,37.04,Lebanon,Both,Cement,Medium,2009,info@deltacementcons.eg,+20189483185,Via Safaga Port,-7.47,USD,122,6,75.71,4.1,12.41,Upper Egypt,Construction - Cement
Craft Tourism House,"Hurghada, Egypt",Tourism,53.79,Germany,Importer,Craft,Medium,1989,info@crafttourismhou.eg,+20357884812,Via Safaga Port,-4.15,USD,170,1,79.14,3.8,7.77,Red Sea,Tourism - Craft
Golden Metal Furniture,"Damietta, Egypt",Furniture,90.8,India,Importer,Metal,Medium,2022,info@goldenmetalfurn.eg,+20183137763,Via Damietta Port,17.08,USD,280,1,93.44,4.6,14.37,Mediterranean Coast,Furniture - Metal
Alexandria Spices Food Processing,"Qena, Egypt",Food Processing,6.11,Kuwait,Exporter,Spices,Small,2003,info@alexandriaspice.eg,+20233411418,Via Port Said Port,-4.56,USD,36,4,69.81,3.8,1.29,Upper Egypt,Food Processing - Spices
Plastics Chemicals House,"Assiut, Egypt",Chemicals,11.95,Kenya,Both,Plastics,Small,2001,info@plasticschemica.eg,+20196599829,Via Alexandria Port,-1.18,USD,41,4,87.76,4.3,13.37,Upper Egypt,Chemicals - Plastics
Upper Egypt Paints Chemicals,"Qena, Egypt",Chemicals,13.05,UAE,Importer,Paints,Small,2010,info@upperegyptpaint.eg,+20225546993,Via Safaga Port,4.49,USD,44,6,97.79,4.5,14.37,Upper Egypt,Chemicals - Paints
Royal Detergents Chemicals,"Suez, Egypt",Chemicals,10.8,Jordan,Importer,Detergents,Small,1992,info@royaldetergents.eg,+20136442230,Via Suez Port,-7.18,USD,50,3,73.27,4.2,2.72,Suez Canal,Chemicals - Detergents
Hotels Tourism Group,"Sohag, Egypt",Tourism,545.37,South Africa,Importer,Hotels,Large,2012,info@hotelstourismgr.eg,+20275182779,Via Suez Port,10.37,USD,365,4,95.14,4.7,7.92,Upper Egypt,Tourism - Hotels
Upper Egypt Craft Tourism,"Beni Suef, Egypt",Tourism,1.98,UAE,Both,Craft,Small,1992,info@upperegyptcraft.eg,+20187354416,Via Suez Port,-10.0,USD,14,4,68.04,3.3,2.41,Upper Egypt,Tourism - Craft
Ceramics Construction House,"Fayoum, Egypt",Construction,5.51,Bahrain,Both,Ceramics,Small,2009,info@ceramicsconstru.eg,+20258883734,Via Port Said Port,0.75,USD,30,3,71.0,4.0,14.53,Upper Egypt,Construction - Ceramics
Royal Papyrus Handicrafts,"Beni Suef, Egypt",Handicrafts,181.27,Oman,Exporter,Papyrus,Large,2000,info@royalpapyrushan.eg,+20184946013,Via Safaga Port,3.94,USD,365,4,98.0,4.7,1.05,Upper Egypt,Handicrafts - Papyrus
Medical Supplies Pharmaceuticals Exports,"Fayoum, Egypt",Pharmaceuticals,1.63,Jordan,Exporter,Medical Supplies,Small,2014,info@medicalsupplies.eg,+20320498255,Via Safaga Port,3.2,USD,20,1,57.52,2.9,10.4,Upper Egypt,Pharmaceuticals - Medical Supplies
Marble Construction House,"El Arish, Egypt",Construction,6.08,Malaysia,Importer,Marble,Small,2016,info@marbleconstruct.eg,+20275554258,Via Safaga Port,7.18,USD,31,3,76.26,3.9,4.46,Sinai,Construction - Marble
Greater Cairo Brassware Handicrafts,"Giza, Egypt",Handicrafts,64.6,Mexico,Exporter,Brassware,Medium,2008,info@greatercairobra.eg,+20264783009,Via Safaga Port,-5.44,USD,209,0,80.51,4.2,11.16,Greater Cairo,Handicrafts - Brassware
Sohag Cosmetics Chemicals,"Sohag, Egypt",Chemicals,4.04,Ethiopia,Both,Cosmetics,Small,2013,info@sohagcosmeticsc.eg,+20335316016,Via Port Said Port,1.3,USD,25,6,95.34,4.7,10.34,Upper Egypt,Chemicals - Cosmetics
Delta Craft Tourism,"Giza, Egypt",Tourism,1.75,Greece,Exporter,Craft,Small,2007,info@deltacrafttouri.eg,+20299631183,Via Suez Port,14.33,USD,25,4,65.32,2.8,14.56,Greater Cairo,Tourism - Craft
Craft Tourism Egypt,"Tanta, Egypt",Tourism,5.84,Ghana,Importer,Craft,Small,2001,info@crafttourismegy.eg,+20312787593,Via Port Said Port,2.41,USD,31,6,80.09,4.1,11.84,Nile Delta,Tourism - Craft
Alexandria Jewelry Handicrafts,"Minya, Egypt",Handicrafts,11.54,Lebanon,Both,Jewelry,Small,1990,info@alexandriajewel.eg,+20171174520,Via Port Said Port,-6.14,USD,48,6,84.33,4.5,11.48,Upper Egypt,Handicrafts - Jewelry
Pharaoh Marble Construction,"Aswan, Egypt",Construction,326.23,Malaysia,Exporter,Marble,Large,1989,info@pharaohmarbleco.eg,+20292092455,Via Suez Port,-9.05,USD,365,4,87.63,4.7,4.35,Upper Egypt,Construction - Marble
Modern Papyrus Handicrafts,"Marsa Matruh, Egypt",Handicrafts,44.16,Belgium,Both,Papyrus,Medium,1980,info@modernpapyrusha.eg,+20273944610,Via Suez Port,-10.0,USD,153,6,77.55,3.7,14.75,Mediterranean Coast,Handicrafts - Papyrus
Cairo Resorts Tourism,"Cairo, Egypt",Tourism,1.83,Argentina,Importer,Resorts,Small,2011,info@cairoresortstou.eg,+20370064280,Via Port Said Port,-0.89,USD,12,2,80.82,4.2,9.18,Greater Cairo,Tourism - Resorts
Greater Cairo Flowers Agriculture,"Cairo, Egypt",Agriculture,11.03,Lebanon,Exporter,Flowers,Small,1988,info@greatercairoflo.eg,+20391672063,Via Safaga Port,-9.45,USD,42,4,64.47,2.9,2.37,Greater Cairo,Agriculture - Flowers
United Components Electronics,"New Cairo, Egypt",Electronics,2.82,Argentina,Exporter,Components,Small,2019,info@unitedcomponent.eg,+20165876603,Via Safaga Port,-2.45,USD,3,2,70.36,4.1,13.83,Greater Cairo,Electronics - Components
United Paints Chemicals,"Qena, Egypt",Chemicals,6.48,Lebanon,Both,Paints,Small,2001,info@unitedpaintsche.eg,+20119776377,Via Safaga Port,14.42,USD,34,5,84.4,4.3,12.78,Upper Egypt,Chemicals - Paints
El Arish Gold Metals,"El Arish, Egypt",Metals,60.91,Ghana,Exporter,Gold,Medium,1997,info@elarishgoldmeta.eg,+20389058779,Via Damietta Port,-3.84,USD,194,3,79.87,3.8,11.77,Sinai,Metals - Gold
Appliances Electronics Industries,"Kafr El Sheikh, Egypt",Electronics,75.86,Jordan,Importer,Appliances,Medium,2006,info@applianceselect.eg,+20278878334,Via Safaga Port,10.63,USD,250,2,63.18,3.2,4.79,Nile Delta,Electronics - Appliances
Outdoor Furniture Exports,"Marsa Matruh, Egypt",Furniture,19.25,Jordan,Both,Outdoor,Small,1982,info@outdoorfurnitur.eg,+20226465494,Via Port Said Port,-10.0,USD,66,3,57.39,2.6,13.04,Mediterranean Coast,Furniture - Outdoor
Fayoum Components Electronics,"Fayoum, Egypt",Electronics,11.97,Ghana,Exporter,Components,Small,2013,info@fayoumcomponent.eg,+20243916037,Via Suez Port,13.62,USD,49,5,78.41,4.2,14.76,Upper Egypt,Electronics - Components
Royal Confectionery Food Processing,"Cairo, Egypt",Food Processing,268.01,Greece,Exporter,Confectionery,Large,2012,info@royalconfection.eg,+20399562566,Via Port Said Port,9.72,USD,365,2,91.54,4.6,4.03,Greater Cairo,Food Processing - Confectionery
Computers Electronics of Egypt,"Safaga, Egypt",Electronics,293.85,Brazil,Both,Computers,Large,2018,info@computerselectr.eg,+20220076355,Via Safaga Port,3.19,USD,365,6,73.36,3.9,5.52,Red Sea,Electronics - Computers
Pharaoh Computers Electronics,"New Cairo, Egypt",Electronics,24.53,Vietnam,Importer,Computers,Medium,2015,info@pharaohcomputer.eg,+20323784760,Via Safaga Port,5.22,USD,82,0,73.63,4.0,1.4,Greater Cairo,Electronics - Computers
Red Sea Detergents Chemicals,"Hurghada, Egypt",Chemicals,21.99,Vietnam,Both,Detergents,Medium,2003,info@redseadetergent.eg,+20346132716,Via Safaga Port,3.91,USD,84,5,76.23,4.1,6.5,Red Sea,Chemicals - Detergents
Cairo Fabrics Textiles,"Assiut, Egypt",Textiles,575.04,Kuwait,Importer,Fabrics,Large,1986,info@cairofabricstex.eg,+20315836547,Via Suez Port,-10.0,USD,365,0,98.0,4.6,3.57,Upper Egypt,Textiles - Fabrics
Cairo Papyrus Handicrafts,"Port Said, Egypt",Handicrafts,322.82,Kuwait,Both,Papyrus,Large,1999,info@cairopapyrushan.eg,+20132702135,Via Alexandria Port,0.72,USD,365,5,84.49,4.2,12.34,Mediterranean Coast,Handicrafts - Papyrus
Rugs Textiles Trading Egypt,"Luxor, Egypt",Textiles,4.35,Morocco,Both,Rugs,Small,1995,info@rugstextilestra.eg,+20170714830,Via Port Said Port,7.55,USD,24,3,60.02,3.3,9.02,Upper Egypt,Textiles - Rugs
Garments Textiles of Egypt,"Zagazig, Egypt",Textiles,449.4,Kuwait,Both,Garments,Large,2020,info@garmentstextile.eg,+20280374337,Via Suez Port,7.96,USD,365,0,91.71,4.8,2.27,Nile Delta,Textiles - Garments
Egypt Beverages Food Processing Company,"Assiut, Egypt",Food Processing,383.88,Lebanon,Both,Beverages,Large,1996,info@egyptbeveragesf.eg,+20173632992,Via Safaga Port,5.53,USD,365,6,90.99,4.9,12.7,Upper Egypt,Food Processing - Beverages
Resorts Tourism Trading Egypt,"Suez, Egypt",Tourism,9.19,Bahrain,Exporter,Resorts,Small,1997,info@resortstourismt.eg,+20271388617,Via Suez Port,4.7,USD,34,3,60.71,3.3,3.33,Suez Canal,Tourism - Resorts
Nile Garments Textiles,"Safaga, Egypt",Textiles,9.49,Italy,Exporter,Garments,Small,1986,info@nilegarmentstex.eg,+20188658411,Via Alexandria Port,-9.11,USD,44,3,93.3,4.6,4.98,Red Sea,Textiles - Garments
Red Sea Components Electronics,"Safaga, Egypt",Electronics,389.93,UAE,Both,Components,Large,1985,info@redseacomponent.eg,+20185937906,Via Safaga Port,-10.0,USD,365,3,77.3,3.6,12.38,Red Sea,Electronics - Components
Carpets Textiles Group,"Damanhur, Egypt",Textiles,5.88,Oman,Both,Carpets,Small,1988,info@carpetstextiles.eg,+20393438379,Via Safaga Port,-10.0,USD,40,5,89.85,4.5,10.0,Nile Delta,Textiles - Carpets
Canned Foods Food Processing Trading Egypt,"Marsa Matruh, Egypt",Food Processing,86.68,South Korea,Both,Canned Foods,Medium,1991,info@cannedfoodsfood.eg,+20281731871,Via Marsa Matruh Port,-7.13,USD,274,6,83.7,4.3,5.18,Mediterranean Coast,Food Processing - Canned Foods
Copper Metals House,"Zagazig, Egypt",Metals,11.78,Indonesia,Exporter,Copper,Small,2003,info@coppermetalshou.eg,+20371829505,Via Alexandria Port,-3.04,USD,43,2,84.15,4.3,3.18,Nile Delta,Metals - Copper
Brassware Handicrafts of Egypt,"New Cairo, Egypt",Handicrafts,73.18,Mexico,Both,Brassware,Medium,2020,info@brasswarehandic.eg,+20290461029,Via Damietta Port,13.86,USD,235,0,77.47,3.8,11.81,Greater Cairo,Handicrafts - Brassware
Nile Dates Agriculture,"Damanhur, Egypt",Agriculture,12.0,Qatar,Importer,Dates,Small,2013,info@niledatesagricu.eg,+20377904391,Via Safaga Port,-10.0,USD,46,6,84.83,4.2,6.2,Nile Delta,Agriculture - Dates
Cairo Appliances Electronics,"Suez, Egypt",Electronics,579.51,Spain,Importer,Appliances,Large,2002,info@cairoappliances.eg,+20336352561,Via Port Said Port,-6.89,USD,365,4,82.2,4.3,12.47,Suez Canal,Electronics - Appliances
Mediterranean Coast Cotton Textiles,"Marsa Matruh, Egypt",Textiles,13.15,Japan,Both,Cotton,Small,1983,info@mediterraneanco.eg,+20135074148,Via Marsa Matruh Port,-10.0,USD,56,1,96.0,4.5,9.47,Mediterranean Coast,Textiles - Cotton
Sinai Souvenirs Tourism,"Sharm El Sheikh, Egypt",Tourism,2.49,Jordan,Exporter,Souvenirs,Small,2021,info@sinaisouvenirst.eg,+20336278946,Via Alexandria Port,5.48,USD,18,5,72.66,4.0,7.32,Sinai,Tourism - Souvenirs
Upper Egypt Ceramics Construction,"Qena, Egypt",Construction,9.48,Ethiopia,Both,Ceramics,Small,1990,info@upperegyptceram.eg,+20160203708,Via Alexandria Port,6.42,USD,34,4,76.7,3.7,13.44,Upper Egypt,Construction - Ceramics
Pharaoh Beverages Food Processing,"Aswan, Egypt",Food Processing,45.63,UAE,Both,Beverages,Medium,1982,info@pharaohbeverage.eg,+20178455727,Via Alexandria Port,-4.03,USD,152,4,68.73,3.6,11.29,Upper Egypt,Food Processing - Beverages
Rugs Textiles of Egypt,"Zagazig, Egypt",Textiles,374.45,Ghana,Importer,Rugs,Large,2013,info@rugstextilesofe.eg,+20175914976,Via Damietta Port,-9.83,USD,365,0,82.99,4.7,11.54,Nile Delta,Textiles - Rugs
Mansoura Fruits Agriculture,"Mansoura, Egypt",Agriculture,1.98,Nigeria,Both,Fruits,Small,1992,info@mansourafruitsa.eg,+20196431582,Via Damietta Port,-2.46,USD,3,6,83.35,4.1,5.64,Nile Delta,Agriculture - Fruits
Cairo Fertilizers Chemicals,"Damietta, Egypt",Chemicals,109.09,Bahrain,Importer,Fertilizers,Large,2009,info@cairofertilizer.eg,+20153157088,Via Port Said Port,15.15,USD,340,2,85.29,4.6,14.35,Mediterranean Coast,Chemicals - Fertilizers
